time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-03-03T16:23:38.000Z,61.0363,-150.9174,47.9,2.7,ml,,,,0.69,ak,ak11175163,2014-03-03T16:42:45.686Z,"43km NNE of Nikiski, Alaska",earthquake
2014-03-03T16:10:41.750Z,-17.8279,-178.6484,565.99,5.1,mb,,77,3.144,0.64,us,usb000n00l,2014-03-03T17:48:12.434Z,"261km SE of Lambasa, Fiji",earthquake
2014-03-03T16:05:31.000Z,59.8377,-153.4864,100,2.9,ml,,,,0.97,ak,ak11175144,2014-03-03T16:19:50.185Z,"80km E of Old Iliamna, Alaska",earthquake
2014-03-03T15:14:22.580Z,-9.4814,117.7153,71.75,4.4,mb,,86,3.66,0.7,us,usb000mzzj,2014-03-03T16:53:49.011Z,"75km S of Plampang, Indonesia",earthquake
2014-03-03T13:20:50.400Z,1.185,127.223,153.78,4.8,mb,,84,0.434,0.63,us,usb000mzyu,2014-03-03T15:56:33.000Z,"46km NNW of Ternate, Indonesia",earthquake
2014-03-03T12:40:34.600Z,19.0435,-66.7593,42,2.8,Md,11,262.8,0.60276956,0.56,pr,pr14062004,2014-03-03T16:11:35.089Z,"62km N of Hatillo, Puerto Rico",earthquake
2014-03-03T12:32:51.200Z,-1.1778,127.4671,26.09,4.6,mb,,113,1.939,0.85,us,usb000mzyk,2014-03-03T12:58:31.000Z,"29km NW of Laiwui, Indonesia",earthquake
2014-03-03T11:56:18.200Z,19.1434,-66.9613,23,2.9,Md,13,284.4,0.68721119,0.28,pr,pr14062003,2014-03-03T12:47:18.173Z,"71km N of Isabela, Puerto Rico",earthquake
2014-03-03T11:46:11.600Z,19.2761,-64.8034,11,3,Md,10,280.8,0.87226414,0.28,pr,pr14062002,2014-03-03T12:20:11.703Z,"97km NNW of Road Town, British Virgin Islands",earthquake
2014-03-03T07:39:13.010Z,-14.9733,170.7559,652.16,4.7,mb,,92,3.462,1.08,us,usb000mzvl,2014-03-03T15:41:46.665Z,"Vanuatu region",earthquake
2014-03-03T06:10:11.200Z,14.2166,-92.9888,50.55,4.6,mb,,178,1.289,1.39,us,usb000mzup,2014-03-03T14:12:41.335Z,"82km SW of Puerto Madero, Mexico",earthquake
2014-03-03T05:18:58.400Z,19.4018,-155.4215,5.9,2.5,Ml,,32.4,0.04491576,0.22,hv,hv60649636,2014-03-03T13:21:25.243Z,"19km W of Volcano, Hawaii",earthquake
2014-03-03T03:17:46.150Z,-33.1013,-71.9255,10,5.1,mb,,74,0.774,0.73,us,usb000mztz,2014-03-03T15:19:16.247Z,"28km WSW of Valparaiso, Chile",earthquake
